event,tick
first_cross,20
first_cross,26
first_cross,9
first_cross,30
first_cross,26
first_cross,8
first_cross,11
first_cross,33
first_cross,21
first_cross,2
first_cross,15
first_cross,0
first_cross,17
first_cross,14
first_cross,31
first_cross,15
first_cross,14
first_cross,11
first_cross,7
first_cross,20
first_cross,20
first_cross,14
first_cross,20
first_cross,26
first_cross,37
first_cross,41
first_cross,8
first_cross,16
first_cross,15
first_cross,7
first_cross,22
first_cross,18
first_cross,26
first_cross,16
first_cross,12
first_cross,29
first_cross,13
first_cross,24
first_cross,4
first_cross,27
first_cross,32
first_cross,38
first_cross,16
first_cross,26
first_cross,20
first_cross,12
first_cross,19
first_cross,4
first_cross,10
first_cross,20
first_cross,39
first_cross,18
first_cross,28
first_cross,19
first_cross,20
first_cross,31
first_cross,4
first_cross,44
first_cross,20
first_cross,5
first_cross,32
first_cross,25
first_cross,2
first_cross,17
first_cross,34
first_cross,29
first_cross,18
first_cross,43
first_cross,24
first_cross,50
first_cross,14
first_cross,11
first_cross,31
first_cross,27
first_cross,10
first_cross,13
first_cross,28
first_cross,13
first_cross,16
first_cross,20
first_cross,15
first_cross,23
first_cross,22
first_cross,20
first_cross,12
first_cross,17
first_cross,50
first_cross,3
first_cross,29
first_cross,9
first_cross,6
first_cross,22
first_cross,8
first_cross,13
first_cross,10
first_cross,13
first_cross,23
first_cross,14
first_cross,14
first_cross,29
first_cross,9
first_cross,26
first_cross,36
first_cross,23
first_cross,28
first_cross,14
first_cross,17
first_cross,0
first_cross,19
first_cross,18
first_cross,2
first_cross,12
first_cross,24
first_cross,35
first_cross,25
first_cross,41
first_cross,23
first_cross,2
first_cross,21
first_cross,18
first_cross,31
first_cross,14
first_cross,12
first_cross,31
first_cross,19
first_cross,4
first_cross,11
first_cross,24
first_cross,29
first_cross,6
first_cross,22
first_cross,39
first_cross,23
first_cross,13
first_cross,23
first_cross,21
first_cross,25
first_cross,22
first_cross,36
first_cross,44
first_cross,5
first_cross,17
first_cross,18
first_cross,2
first_cross,18
first_cross,16
first_cross,18
first_cross,16
first_cross,25
first_cross,37
first_cross,30
first_cross,20
first_cross,12
first_cross,2
first_cross,6
first_cross,19
first_cross,10
first_cross,13
first_cross,14
first_cross,24
first_cross,19
first_cross,4
first_cross,13
first_cross,27
first_cross,25
first_cross,14
first_cross,29
first_cross,16
first_cross,23
first_cross,3
first_cross,1
first_cross,12
first_cross,3
first_cross,7
first_cross,4
first_cross,15
first_cross,21
first_cross,26
first_cross,10
first_cross,8
first_cross,35
first_cross,22
first_cross,24
first_cross,28
first_cross,14
first_cross,10
first_cross,7
first_cross,25
first_cross,11
first_cross,6
first_cross,15
first_cross,10
first_cross,19
first_cross,15
first_cross,35
first_cross,21
first_cross,29
first_cross,26
first_cross,10
first_cross,25
first_cross,5
first_cross,34
first_cross,31
first_cross,28
first_cross,20
first_cross,6
first_cross,23
first_cross,4
first_cross,2
first_cross,10
first_cross,23
first_cross,13
first_cross,6
first_cross,11
first_cross,25
first_cross,29
first_cross,23
first_cross,21
first_cross,29
first_cross,9
first_cross,12
first_cross,6
first_cross,21
first_cross,13
first_cross,2
first_cross,21
first_cross,29
first_cross,21
first_cross,12
first_cross,20
first_cross,23
first_cross,7
first_cross,16
first_cross,27
first_cross,9
first_cross,12
first_cross,12
first_cross,15
first_cross,10
first_cross,35
first_cross,32
first_cross,28
first_cross,11
first_cross,28
first_cross,22
first_cross,33
first_cross,8
first_cross,3
first_cross,12
first_cross,32
first_cross,14
first_cross,3
first_cross,34
first_cross,9
first_cross,17
first_cross,26
first_cross,14
first_cross,5
first_cross,17
first_cross,22
first_cross,11
first_cross,9
first_cross,18
first_cross,1
first_cross,36
first_cross,11
first_cross,2
first_cross,15
first_cross,31
first_cross,27
first_cross,5
first_cross,7
first_cross,34
first_cross,29
first_cross,16
first_cross,22
first_cross,1
first_cross,10
first_cross,20
first_cross,16
first_cross,32
first_cross,29
first_cross,28
first_cross,35
first_cross,26
first_cross,23
first_cross,24
first_cross,6
first_cross,13
first_cross,17
first_cross,5
first_cross,23
first_cross,30
first_cross,29
first_cross,22
first_cross,26
first_cross,14
first_cross,23
first_cross,26
first_cross,25
first_cross,10
first_cross,4
first_cross,6
first_cross,17
first_cross,10
first_cross,21
first_cross,9
first_cross,6
first_cross,16
first_cross,23
first_cross,12
first_cross,16
first_cross,23
first_cross,23
first_cross,15
first_cross,15
first_cross,20
first_cross,22
first_cross,14
first_cross,41
first_cross,30
first_cross,0
first_cross,28
first_cross,20
first_cross,10
first_cross,6
first_cross,14
first_cross,9
first_cross,19
first_cross,9
first_cross,23
first_cross,17
first_cross,36
first_cross,24
first_cross,12
first_cross,36
first_cross,20
first_cross,9
first_cross,25
first_cross,36
first_cross,15
first_cross,5
first_cross,22
first_cross,24
first_cross,6
first_cross,21
first_cross,21
first_cross,34
first_cross,21
first_cross,23
first_cross,4
first_cross,10
first_cross,13
first_cross,16
first_cross,6
first_cross,14
first_cross,1
first_cross,20
first_cross,4
first_cross,12
first_cross,17
first_cross,19
first_cross,22
first_cross,20
first_cross,25
first_cross,19
first_cross,31
first_cross,15
first_cross,5
first_cross,9
first_cross,25
first_cross,14
first_cross,10
first_cross,12
first_cross,17
first_cross,32
first_cross,27
first_cross,14
first_cross,11
first_cross,12
first_cross,21
first_cross,24
first_cross,11
first_cross,20
first_cross,29
first_cross,5
first_cross,9
first_cross,20
first_cross,3
first_cross,6
first_cross,27
first_cross,4
first_cross,10
first_cross,27
first_cross,13
first_cross,12
first_cross,5
first_cross,14
first_cross,10
first_cross,10
first_cross,24
first_cross,3
first_cross,13
first_cross,29
first_cross,19
first_cross,23
first_cross,34
first_cross,27
first_cross,28
first_cross,13
first_cross,2
first_cross,7
first_cross,7
first_cross,18
first_cross,4
first_cross,9
first_cross,8
first_cross,14
first_cross,17
first_cross,23
first_cross,5
first_cross,23
first_cross,14
first_cross,31
first_cross,22
first_cross,26
first_cross,9
first_cross,13
first_cross,8
first_cross,28
first_cross,22
first_cross,10
first_cross,24
first_cross,17
first_cross,30
first_cross,20
first_cross,44
first_cross,15
first_cross,9
first_cross,6
first_cross,15
first_cross,13
first_cross,9
first_cross,9
first_cross,13
first_cross,8
first_cross,26
first_cross,17
first_cross,18
first_cross,24
first_cross,11
first_cross,19
first_cross,20
first_cross,11
first_cross,14
first_cross,28
first_cross,25
first_cross,4
first_cross,20
first_cross,13
first_cross,27
first_cross,26
first_cross,24
first_cross,45
first_cross,27
first_cross,32
first_cross,14
first_cross,24
first_cross,30
first_cross,4
first_cross,14
first_cross,30
first_cross,8
first_cross,18
first_cross,20
first_cross,17
first_cross,20
first_cross,15
first_cross,33
first_cross,52
first_cross,12
first_cross,21
first_cross,20
first_cross,15
first_cross,35
first_cross,42
first_cross,14
first_cross,11
first_cross,31
first_cross,14
first_cross,17
first_cross,38
first_cross,19
first_cross,20
first_cross,29
first_cross,15
first_cross,16
first_cross,7
first_cross,43
first_cross,20
first_cross,20
first_cross,14
first_cross,18
first_cross,31
first_cross,5
first_cross,11
first_cross,14
first_cross,26
first_cross,14
first_cross,19
first_cross,11
first_cross,2
first_cross,16
first_cross,12
first_cross,32
first_cross,6
first_cross,1
first_cross,12
first_cross,31
first_cross,12
first_cross,31
first_cross,41
first_cross,22
first_cross,27
first_cross,14
first_cross,22
first_cross,22
first_cross,27
first_cross,42
first_cross,5
first_cross,27
first_cross,34
first_cross,9
first_cross,29
first_cross,25
first_cross,24
first_cross,17
first_cross,24
first_cross,6
first_cross,16
first_cross,12
first_cross,7
first_cross,17
first_cross,7
first_cross,10
first_cross,4
first_cross,6
first_cross,12
first_cross,15
first_cross,13
first_cross,32
first_cross,16
first_cross,11
first_cross,19
first_cross,13
first_cross,12
first_cross,24
first_cross,16
first_cross,11
first_cross,22
first_cross,16
first_cross,3
first_cross,1
first_cross,5
first_cross,12
first_cross,37
first_cross,7
first_cross,12
first_cross,6
first_cross,12
first_cross,28
first_cross,15
first_cross,34
first_cross,24
first_cross,9
first_cross,19
first_cross,30
first_cross,20
first_cross,8
first_cross,12
first_cross,19
first_cross,17
first_cross,45
first_cross,14
first_cross,8
first_cross,13
first_cross,21
first_cross,27
first_cross,18
first_cross,17
first_cross,8
first_cross,21
first_cross,36
first_cross,12
first_cross,8
first_cross,31
first_cross,28
first_cross,22
first_cross,6
first_cross,3
first_cross,5
first_cross,23
first_cross,11
first_cross,31
first_cross,23
first_cross,1
first_cross,5
first_cross,37
first_cross,24
first_cross,31
first_cross,16
first_cross,11
first_cross,34
first_cross,30
first_cross,34
first_cross,29
first_cross,13
first_cross,18
first_cross,8
first_cross,42
first_cross,33
first_cross,24
first_cross,18
first_cross,12
first_cross,27
first_cross,13
first_cross,10
first_cross,18
first_cross,23
first_cross,15
first_cross,16
first_cross,25
first_cross,14
first_cross,21
first_cross,2
first_cross,8
first_cross,38
first_cross,37
first_cross,26
first_cross,50
first_cross,10
first_cross,11
first_cross,25
first_cross,5
first_cross,36
first_cross,22
first_cross,11
first_cross,17
first_cross,3
first_cross,18
first_cross,2
first_cross,16
first_cross,27
first_cross,4
first_cross,4
first_cross,20
first_cross,5
first_cross,15
first_cross,20
first_cross,1
first_cross,27
first_cross,23
first_cross,24
first_cross,34
first_cross,26
first_cross,8
first_cross,3
first_cross,23
first_cross,12
first_cross,23
first_cross,10
first_cross,28
first_cross,27
first_cross,10
first_cross,7
first_cross,14
first_cross,11
first_cross,10
first_cross,7
first_cross,2
first_cross,14
first_cross,19
first_cross,28
first_cross,9
first_cross,13
first_cross,27
first_cross,16
first_cross,9
first_cross,7
first_cross,8
first_cross,27
first_cross,10
first_cross,1
first_cross,30
first_cross,14
first_cross,11
first_cross,51
first_cross,20
first_cross,13
first_cross,17
first_cross,22
first_cross,9
first_cross,8
first_cross,13
first_cross,10
first_cross,13
first_cross,20
first_cross,23
first_cross,2
first_cross,8
first_cross,29
first_cross,10
first_cross,20
first_cross,10
first_cross,20
first_cross,22
first_cross,37
first_cross,6
first_cross,14
first_cross,21
first_cross,8
first_cross,10
first_cross,18
first_cross,18
first_cross,2
first_cross,22
first_cross,16
first_cross,8
first_cross,7
first_cross,11
first_cross,8
first_cross,27
first_cross,15
first_cross,28
first_cross,6
first_cross,6
first_cross,17
first_cross,16
first_cross,23
first_cross,39
first_cross,31
first_cross,20
first_cross,29
first_cross,36
first_cross,14
first_cross,3
first_cross,17
first_cross,12
first_cross,20
first_cross,33
first_cross,12
first_cross,11
first_cross,21
first_cross,20
first_cross,19
first_cross,18
first_cross,23
first_cross,8
first_cross,41
first_cross,13
first_cross,15
first_cross,10
first_cross,11
first_cross,12
first_cross,41
first_cross,20
first_cross,8
first_cross,20
first_cross,14
first_cross,17
first_cross,19
first_cross,7
first_cross,10
first_cross,14
first_cross,5
first_cross,25
first_cross,28
first_cross,10
first_cross,45
first_cross,4
first_cross,19
first_cross,16
first_cross,26
first_cross,37
first_cross,21
first_cross,23
first_cross,26
first_cross,28
first_cross,18
first_cross,24
first_cross,9
first_cross,21
first_cross,30
first_cross,20
first_cross,28
first_cross,7
first_cross,28
first_cross,14
first_cross,24
first_cross,24
first_cross,5
first_cross,15
first_cross,17
first_cross,3
first_cross,9
first_cross,12
first_cross,26
first_cross,18
first_cross,16
first_cross,15
first_cross,14
first_cross,11
first_cross,10
first_cross,9
first_cross,22
first_cross,30
first_cross,25
first_cross,29
first_cross,25
first_cross,4
first_cross,9
first_cross,28
first_cross,7
first_cross,7
first_cross,6
first_cross,24
first_cross,33
first_cross,23
first_cross,27
first_cross,20
first_cross,32
first_cross,15
first_cross,13
first_cross,22
first_cross,20
first_cross,21
first_cross,1
first_cross,1
first_cross,33
first_cross,10
first_cross,7
first_cross,27
first_cross,15
first_cross,18
first_cross,12
first_cross,16
first_cross,10
first_cross,20
first_cross,12
first_cross,21
first_cross,19
first_cross,19
first_cross,30
first_cross,9
first_cross,6
first_cross,38
first_cross,30
first_cross,34
first_cross,30
first_cross,20
first_cross,29
first_cross,26
first_cross,28
first_cross,11
first_cross,8
first_cross,24
first_cross,20
first_cross,35
first_cross,5
first_cross,19
first_cross,28
first_cross,15
first_cross,20
first_cross,30
first_cross,2
first_cross,18
first_cross,29
first_cross,22
first_cross,13
first_cross,17
first_cross,13
first_cross,34
first_cross,32
first_cross,22
first_cross,10
first_cross,23
first_cross,13
first_cross,6
first_cross,20
first_cross,24
first_cross,27
first_cross,16
first_cross,17
first_cross,9
first_cross,13
first_cross,15
first_cross,42
first_cross,2
first_cross,25
first_cross,30
first_cross,22
first_cross,18
first_cross,13
first_cross,12
first_cross,19
first_cross,12
first_cross,13
first_cross,16
first_cross,11
first_cross,19
first_cross,14
first_cross,4
first_cross,5
first_cross,45
first_cross,14
first_cross,9
first_cross,16
first_cross,5
first_cross,46
first_cross,26
first_cross,35
first_cross,7
first_cross,12
first_cross,22
first_cross,7
first_cross,16
first_cross,19
first_cross,11
first_cross,22
first_cross,26
first_cross,4
first_cross,1
first_cross,20
first_cross,21
first_cross,14
first_cross,10
first_cross,3
first_cross,13
first_cross,27
first_cross,12
first_cross,10
first_cross,21
first_cross,40
first_cross,27
first_cross,18
first_cross,22
first_cross,17
first_cross,20
first_cross,23
first_cross,22
first_cross,26
first_cross,17
first_cross,30
first_cross,22
first_cross,7
first_cross,29
first_cross,20
first_cross,24
first_cross,21
first_cross,10
first_cross,3
first_cross,14
first_cross,11
first_cross,6
first_cross,29
first_cross,30
first_cross,7
first_cross,19
first_cross,38
first_cross,29
first_cross,7
first_cross,9
first_cross,12
first_cross,30
first_cross,8
first_cross,9
first_cross,15
first_cross,3
first_cross,25
first_cross,13
first_cross,10
first_cross,19
first_cross,11
first_cross,34
first_cross,26
first_cross,25
first_cross,32
first_cross,32
first_cross,24
first_cross,1
first_cross,20
first_cross,22
first_cross,21
first_cross,6
first_cross,13
first_cross,16
first_cross,33
first_cross,9
first_cross,21
first_cross,6
first_cross,25
first_cross,35
first_cross,32
first_cross,20
first_cross,28
first_cross,27
first_cross,41
first_cross,17
first_cross,13
first_cross,20
first_cross,9
first_cross,10
first_cross,15
first_cross,21
first_cross,10
first_cross,19
first_cross,26
first_cross,18
first_cross,0
first_cross,10
first_cross,10
first_cross,13
first_cross,24
first_cross,14
first_cross,11
first_cross,18
first_cross,12
first_cross,15
first_cross,9
first_cross,26
first_cross,30
first_cross,9
first_cross,14
first_cross,26
first_cross,20
first_cross,13
first_cross,10
first_cross,9
first_cross,13
first_cross,20
first_cross,30
first_cross,18
first_cross,29
first_cross,12
first_cross,9
first_cross,23
first_cross,6
first_cross,28
first_cross,11
first_cross,30
first_cross,32
first_cross,20
first_cross,16
first_cross,29
first_cross,31
first_cross,2
first_cross,9
first_cross,1
first_cross,0
first_cross,14
first_cross,12
first_cross,23
first_cross,19
first_cross,10
first_cross,16
first_cross,30
first_cross,24
first_cross,30
first_cross,2
first_cross,14
first_cross,8
first_cross,16
first_cross,9
first_cross,6
first_cross,19
first_cross,24
first_cross,33
first_cross,9
first_cross,17
first_cross,16
first_cross,2
first_cross,23
first_cross,12
first_cross,27
first_cross,17
first_cross,16
first_cross,24
first_cross,9
first_cross,17
first_cross,31
first_cross,10
first_cross,21
first_cross,27
first_cross,17
first_cross,3
first_cross,27
first_cross,13
first_cross,6
first_cross,14
first_cross,19
first_cross,17
first_cross,13
first_cross,4
first_cross,25
first_cross,48
first_cross,22
first_cross,23
first_cross,11
first_cross,9
first_cross,20
first_cross,19
first_cross,3
first_cross,23
first_cross,11
first_cross,31
first_cross,44
first_cross,39
first_cross,44
first_cross,9
first_cross,30
first_cross,30
first_cross,9
first_cross,14
first_cross,25
first_cross,27
first_cross,29
first_cross,10
first_cross,18
first_cross,42
first_cross,19
first_cross,25
first_cross,27
first_cross,12
first_cross,24
first_cross,12
first_cross,7
first_cross,18
first_cross,26
first_cross,7
first_cross,25
first_cross,36
first_cross,65
first_cross,11
first_cross,20
first_cross,20
first_cross,7
first_cross,8
first_cross,13
first_cross,1
first_cross,22
first_cross,26
first_cross,16
first_cross,7
first_cross,29
first_cross,13
first_cross,12
first_cross,0
first_cross,19
first_cross,16
first_cross,10
first_cross,2
first_cross,25
first_cross,31
first_cross,36
first_cross,15
first_cross,18
first_cross,28
first_cross,5
first_cross,32
first_cross,35
first_cross,15
first_cross,20
first_cross,14
first_cross,28
first_cross,26
first_cross,23
first_cross,20
first_cross,9
first_cross,36
first_cross,37
first_cross,20
first_cross,25
first_cross,17
first_cross,2
first_cross,12
first_cross,13
first_cross,7
first_cross,16
first_cross,5
first_cross,26
first_cross,18
first_cross,10
first_cross,14
first_cross,39
first_cross,16
first_cross,7
first_cross,24
first_cross,29
first_cross,30
first_cross,11
first_cross,28
first_cross,16
first_cross,12
first_cross,9
first_cross,11
first_cross,18
first_cross,11
first_cross,19
first_cross,10
first_cross,24
first_cross,23
first_cross,3
first_cross,39
first_cross,14
first_cross,2
first_cross,19
first_cross,20
first_cross,28
first_cross,24
first_cross,4
first_cross,20
first_cross,21
first_cross,15
first_cross,3
first_cross,19
first_cross,26
first_cross,14
first_cross,18
first_cross,7
first_cross,22
first_cross,27
first_cross,5
first_cross,16
first_cross,11
first_cross,14
first_cross,24
first_cross,30
first_cross,18
first_cross,30
first_cross,27
first_cross,7
first_cross,13
first_cross,4
first_cross,22
first_cross,5
first_cross,7
first_cross,13
first_cross,17
first_cross,17
first_cross,21
first_cross,23
first_cross,22
first_cross,4
first_cross,16
first_cross,21
first_cross,10
first_cross,25
first_cross,29
first_cross,34
first_cross,40
first_cross,11
first_cross,13
first_cross,26
first_cross,12
first_cross,14
first_cross,21
first_cross,31
first_cross,17
first_cross,11
first_cross,27
first_cross,8
first_cross,13
first_cross,5
first_cross,15
first_cross,22
first_cross,11
first_cross,23
first_cross,26
first_cross,2
first_cross,9
first_cross,21
first_cross,34
first_cross,6
first_cross,2
first_cross,15
first_cross,18
first_cross,33
first_cross,20
first_cross,29
first_cross,3
first_cross,12
first_cross,23
first_cross,32
first_cross,35
first_cross,9
first_cross,25
first_cross,30
first_cross,11
first_cross,18
first_cross,17
first_cross,26
first_cross,8
first_cross,13
first_cross,4
first_cross,5
first_cross,23
first_cross,15
first_cross,5
first_cross,16
first_cross,6
first_cross,19
first_cross,12
first_cross,18
first_cross,21
first_cross,25
first_cross,22
first_cross,14
first_cross,35
first_cross,5
first_cross,0
first_cross,3
first_cross,12
first_cross,14
first_cross,18
first_cross,25
first_cross,29
first_cross,6
first_cross,4
first_cross,32
first_cross,3
first_cross,12
first_cross,7
first_cross,11
first_cross,13
first_cross,24
first_cross,24
first_cross,21
first_cross,12
first_cross,36
first_cross,3
first_cross,13
first_cross,22
first_cross,11
first_cross,26
first_cross,15
first_cross,9
first_cross,22
first_cross,5
first_cross,3
first_cross,20
first_cross,31
first_cross,14
first_cross,14
first_cross,12
first_cross,19
first_cross,6
first_cross,21
first_cross,26
first_cross,27
first_cross,30
first_cross,10
first_cross,18
first_cross,15
first_cross,23
first_cross,20
first_cross,24
first_cross,12
first_cross,13
first_cross,31
first_cross,16
first_cross,15
first_cross,23
first_cross,17
first_cross,0
first_cross,15
first_cross,15
first_cross,31
first_cross,23
first_cross,11
first_cross,32
first_cross,16
first_cross,15
first_cross,21
first_cross,32
first_cross,14
first_cross,5
first_cross,0
first_cross,25
first_cross,16
first_cross,10
first_cross,16
first_cross,32
first_cross,16
first_cross,43
first_cross,11
first_cross,10
first_cross,22
first_cross,2
first_cross,15
first_cross,29
first_cross,17
first_cross,17
first_cross,20
first_cross,4
first_cross,32
first_cross,16
first_cross,8
first_cross,7
first_cross,16
first_cross,11
first_cross,14
first_cross,14
first_cross,8
first_cross,16
first_cross,17
first_cross,38
first_cross,12
first_cross,37
first_cross,24
first_cross,25
first_cross,44
first_cross,20
first_cross,28
first_cross,42
first_cross,19
first_cross,26
first_cross,22
first_cross,15
first_cross,34
first_cross,41
first_cross,14
first_cross,14
first_cross,29
first_cross,9
first_cross,24
first_cross,35
first_cross,26
first_cross,20
first_cross,2
first_cross,17
first_cross,11
first_cross,17
first_cross,18
first_cross,14
first_cross,26
first_cross,14
first_cross,29
first_cross,18
first_cross,8
first_cross,31
first_cross,19
first_cross,6
first_cross,6
first_cross,12
first_cross,30
first_cross,26
first_cross,15
first_cross,26
first_cross,5
first_cross,27
first_cross,1
first_cross,23
first_cross,6
first_cross,6
first_cross,20
first_cross,21
first_cross,11
first_cross,20
first_cross,24
first_cross,16
first_cross,17
first_cross,23
first_cross,16
first_cross,27
first_cross,34
first_cross,6
first_cross,24
first_cross,22
first_cross,17
first_cross,13
first_cross,34
first_cross,21
first_cross,32
first_cross,30
first_cross,15
first_cross,13
first_cross,16
first_cross,21
first_cross,18
first_cross,18
first_cross,5
first_cross,11
first_cross,4
first_cross,15
first_cross,26
first_cross,9
first_cross,24
first_cross,23
first_cross,24
first_cross,15
first_cross,18
first_cross,22
first_cross,26
first_cross,25
first_cross,15
first_cross,15
first_cross,19
first_cross,25
first_cross,16
first_cross,22
first_cross,6
first_cross,19
first_cross,16
first_cross,9
first_cross,7
first_cross,11
first_cross,28
first_cross,31
first_cross,22
first_cross,38
first_cross,18
first_cross,16
first_cross,22
first_cross,6
first_cross,19
first_cross,21
first_cross,22
first_cross,9
first_cross,40
first_cross,15
first_cross,13
first_cross,20
first_cross,16
first_cross,10
first_cross,17
first_cross,10
first_cross,20
first_cross,24
first_cross,24
first_cross,14
first_cross,27
first_cross,19
